X1	Offset Displacement	X2	Displacement #2	X3	Displacement #3
0.54225	131.82	0.30407	131.82	0.52181	131.82
0.52271	133.55	0.30643	133.55	0.52586	133.55
0.51783	133.12	0.30584	133.12	0.52486	133.12
0.50806	132.83	0.30701	132.83	0.52686	132.83
0.50806	132.54	0.29466	132.54	0.50567	132.54
0.51294	134.27	0.30877	134.27	0.52988	134.27
0.51294	133.98	0.30877	133.98	0.52988	133.98
0.51294	133.55	0.30877	133.55	0.52988	133.55
0.49340	133.41	0.30819	133.41	0.52888	133.41
0.48363	134.99	0.30937	134.99	0.53091	134.99
0.47386	134.70	0.30937	134.70	0.53091	134.70
0.47386	134.27	0.30937	134.27	0.53091	134.27
0.47386	134.13	0.30937	134.13	0.53091	134.13
0.47875	136.00	0.31055	136.00	0.53293	136.00
0.47386	135.57	0.31113	135.57	0.53393	135.57
0.47386	135.28	0.31113	135.28	0.53393	135.28
0.47386	134.85	0.31113	134.85	0.53393	134.85
0.48363	136.58	0.31289	136.58	0.53695	136.58
0.47875	136.29	0.31349	136.29	0.53798	136.29
0.47875	136.00	0.31289	136.00	0.53695	136.00
0.47875	135.42	0.31349	135.42	0.53798	135.42
0.48363	137.15	0.31407	137.15	0.53898	137.15
0.48852	136.86	0.31407	136.86	0.53898	136.86
0.48852	136.43	0.31407	136.43	0.53898	136.43
0.48852	138.31	0.31525	138.31	0.54100	138.31
0.48852	137.73	0.31465	137.73	0.53998	137.73
0.48363	137.58	0.31407	137.58	0.53898	137.58
0.48363	137.15	0.31349	137.15	0.53798	137.15
0.48363	139.17	0.31407	139.17	0.53898	139.17
0.48852	138.74	0.31349	138.74	0.53798	138.74
0.49829	138.31	0.31289	138.31	0.53695	138.31
0.50317	138.02	0.31289	138.02	0.53695	138.02
0.51294	139.60	0.31289	139.60	0.53695	139.60
0.51294	139.17	0.31289	139.17	0.53695	139.17
0.51294	138.88	0.31349	138.88	0.53798	138.88
0.50806	138.45	0.31349	138.45	0.53798	138.45
0.51294	140.18	0.31407	140.18	0.53898	140.18
0.50806	139.89	0.31465	139.89	0.53998	139.89
0.50806	139.46	0.31525	139.46	0.54100	139.46
